Module,OS,Version,Node count,Collection units,Max. online operators,CPU (main frequency ? 2.0 GHz),Memory ,Java heap size,Disk space for installation (imcInstallDir),Disk space for data storage (imcDataDir),CoRes,DevOS
PLAT,Windows,64Bit,200,5000,20,2-core CPU,4 GB,2 GB,3 GB,30 GB,y,
PLAT,Windows,64Bit,200,50000,10,2-core CPU,4 GB,2 GB,3 GB,60 GB,y,
PLAT,Windows,64Bit,1000,10000,30,4-core CPU,8 GB,2 GB,3 GB,50 GB,y,
PLAT,Windows,64Bit,1000,100000,10,4-core CPU,8 GB,2 GB,3 GB,100 GB,y,
PLAT,Windows,64Bit,2000,20000,30,6-core CPU,12 GB,4 GB,4 GB,60 GB,y,
PLAT,Windows,64Bit,2000,200000,10,6-core CPU,12 GB,4 GB,4 GB,200 GB,y,
PLAT,Windows,64Bit,5000,30000,40,8-core CPU,24 GB,8 GB,5 GB,80 GB,y,
PLAT,Windows,64Bit,5000,300000,20,8-core CPU,24 GB,8 GB,5 GB,250 GB,y,
PLAT,Windows,64Bit,10000,40000,50,16-core CPU,32 GB,12 GB,7 GB,100 GB,y,
PLAT,Windows,64Bit,10000,400000,20,16-core CPU,32 GB,12 GB,7 GB,300 GB,y,
PLAT,Windows,64Bit,15000,40000,50,24-core CPU,64G,16G,10 GB,200 GB,y,
PLAT,Windows,64Bit,15000,400000,20,24-core CPU,64G,16G,10 GB,600 GB,y,
PLAT,Linux,64Bit,200,5000,20,2-core CPU,6 GB,2 GB,3 GB,30 GB,y,
PLAT,Linux,64Bit,200,50000,10,2-core CPU,6 GB,2 GB,3 GB,60 GB,y,
PLAT,Linux,64Bit,1000,10000,30,4-core CPU,12 GB,4 GB,3 GB,50 GB,y,
PLAT,Linux,64Bit,1000,100000,10,4-core CPU,12 GB,4 GB,3 GB,100 GB,y,
PLAT,Linux,64Bit,2000,20000,30,6-core CPU,16 GB,6 GB,4 GB,60 GB,y,
PLAT,Linux,64Bit,2000,200000,10,6-core CPU,16 GB,6 GB,4 GB,200 GB,y,
PLAT,Linux,64Bit,5000,30000,40,8-core CPU,24 GB,8 GB,5 GB,80 GB,y,
PLAT,Linux,64Bit,5000,300000,20,8-core CPU,24 GB,8 GB,5 GB,250 GB,y,
PLAT,Linux,64Bit,10000,40000,50,16-core CPU,32 GB,12 GB,7 GB,100 GB,y,
PLAT,Linux,64Bit,10000,400000,20,16-core CPU,32 GB,12 GB,7 GB,300 GB,y,
PLAT,Linux,64Bit,15000,40000,50,24-core CPU,64G,16G,10 GB,200 GB,y,
PLAT,Linux,64Bit,15000,400000,20,24-core CPU,64G,16G,10 GB,600 GB,y,
